Company Name,Type,Logo_url_T1,Logo_url_T2,Logo_url_T3,Logo_url_T4
Phil Buys Houses Fast,Company,https://i.ibb.co/vqzcqPC/Phil-Buys-Houses-Fast-Logo.png,https://i.ibb.co/vqzcqPC/Phil-Buys-Houses-Fast-Logo.png,https://i.ibb.co/vqzcqPC/Phil-Buys-Houses-Fast-Logo.png,https://i.ibb.co/vqzcqPC/Phil-Buys-Houses-Fast-Logo.png
Phil Buys Houses Fast,cred_logo_1,https://i.ibb.co/WvXsx0q/BBB.png,https://i.ibb.co/WvXsx0q/BBB.png,https://i.ibb.co/WvXsx0q/BBB.png,https://i.ibb.co/WvXsx0q/BBB.png
Phil Buys Houses Fast,cred_logo_2,https://i.ibb.co/4mhf4wp/As-Seen-On-TV-with-White-Borderline.png,https://i.ibb.co/4mhf4wp/As-Seen-On-TV-with-White-Borderline.png,https://i.ibb.co/4mhf4wp/As-Seen-On-TV-with-White-Borderline.png,https://i.ibb.co/4mhf4wp/As-Seen-On-TV-with-White-Borderline.png
Phil Buys Houses Fast,cred_logo_3,https://i.ibb.co/wcvQ52K/Google-with-White-Borderline.png,https://i.ibb.co/wcvQ52K/Google-with-White-Borderline.png,https://i.ibb.co/wcvQ52K/Google-with-White-Borderline.png,https://i.ibb.co/wcvQ52K/Google-with-White-Borderline.png
Phil Buys Houses Fast,cred_logo_4,https://i.ibb.co/FBT5y7H/Years-in-Business-Phil-Buys-Houses-Fast-White.png,https://i.ibb.co/VmzV1r3/Years-in-Business-Phil-Buys-Houses-Fast-Dark.png,https://i.ibb.co/FBT5y7H/Years-in-Business-Phil-Buys-Houses-Fast-White.png,https://i.ibb.co/VmzV1r3/Years-in-Business-Phil-Buys-Houses-Fast-Dark.png
Sell Quick Tampa,Company,https://i.ibb.co/6mWys8P/Sell-Quick-Tampa-Logo.png,https://i.ibb.co/6mWys8P/Sell-Quick-Tampa-Logo.png,https://i.ibb.co/S3D9JJD/Sell-Quick-Tampa-Logo-White-Bordeline.png,https://i.ibb.co/S3D9JJD/Sell-Quick-Tampa-Logo-White-Bordeline.png
Sell Quick Tampa,cred_logo_1,https://i.ibb.co/s26VLtv/Local-Business.png,https://i.ibb.co/s26VLtv/Local-Business.png,https://i.ibb.co/s26VLtv/Local-Business.png,https://i.ibb.co/s26VLtv/Local-Business.png
Sell Quick Tampa,cred_logo_2,https://i.ibb.co/z4YD3X2/Google-White-Border.png,https://i.ibb.co/z4YD3X2/Google-White-Border.png,https://i.ibb.co/z4YD3X2/Google-White-Border.png,https://i.ibb.co/z4YD3X2/Google-White-Border.png
Sell Quick Tampa,cred_logo_3,https://i.ibb.co/3sq4TkC/Years-in-Business-Sell-Quick-Tampa-White.png,https://i.ibb.co/RNvTk93/Years-in-Business-Sell-Quick-Tampa-Dark.png,https://i.ibb.co/3sq4TkC/Years-in-Business-Sell-Quick-Tampa-White.png,https://i.ibb.co/RNvTk93/Years-in-Business-Sell-Quick-Tampa-Dark.png
Sell Quick Tampa,cred_logo_4,,,,
Property Spot,Company,https://i.ibb.co/9tQR6BJ/Property-Spot-Logo.png,https://i.ibb.co/9tQR6BJ/Property-Spot-Logo.png,https://i.ibb.co/2Pq8CcJ/Property-Spot-Logo-with-White-Borderline.png,https://i.ibb.co/2Pq8CcJ/Property-Spot-Logo-with-White-Borderline.png
Property Spot,cred_logo_1,https://i.ibb.co/WvXsx0q/BBB.png,https://i.ibb.co/WvXsx0q/BBB.png,https://i.ibb.co/WvXsx0q/BBB.png,https://i.ibb.co/WvXsx0q/BBB.png
Property Spot,cred_logo_2,https://i.ibb.co/z4YD3X2/Google-White-Border.png,https://i.ibb.co/z4YD3X2/Google-White-Border.png,https://i.ibb.co/z4YD3X2/Google-White-Border.png,https://i.ibb.co/z4YD3X2/Google-White-Border.png
Property Spot,cred_logo_3,https://i.ibb.co/Bj14M8Q/Years-in-Business-Property-Spot-White.png,https://i.ibb.co/K9rhg5J/Years-in-Business-Property-Spot-Dark.png,https://i.ibb.co/Bj14M8Q/Years-in-Business-Property-Spot-White.png,https://i.ibb.co/K9rhg5J/Years-in-Business-Property-Spot-Dark.png
Property Spot,cred_logo_4,,,,
